time,temp
1542734815498,640
1542734816501,640
1542734817503,640
1542734818502,640
1542734819504,640
1542734820504,640
1542734821509,640
1542734822507,640
1542734823512,640
1542734824512,640
1542734825514,640
1542734826512,639
1542734827518,639
1542734828514,639
1542734829520,640
1542734830516,640
1542734831520,640
1542734832517,639
1542734833522,639
1542734834520,639
1542734835526,639
1542734836533,639
1542734837529,639
1542734838525,681
1542735515046,682
1542735516048,682
1542735517045,682
1542735518042,682
1542735519047,682
1542735520044,682
1542735521048,682
1542735522044,682
1542735523055,682
1542735524050,682
1542735525050,682
1542735526050,682
1542735527052,682
1542735528050,682
1542735529053,682
1542735530051,682
1542735531053,682
1542735532052,682
1542735533056,682
1542735534056,682
1542735535061,681
1542735536058,680
1542735537055,681
1542735538057,681
1542735539063,656
1542735540058,658
1542735541069,666
1542735542060,660
1542735543068,668
1542735544060,681
1542735545060,681
1542735546063,681
1542735547067,681
1542735548065,681
1542735549070,681
1542735550065,681
1542735551063,681
1542735552067,681
1542735553068,681
1542735554068,681
1542735555066,681
1542735556069,681
1542735557069,681
1542735558071,680
1542735559072,681
1542735560074,681
1542735561071,681
1542735562077,680
1542735563072,680
1542735564076,680
1542735565074,680
1542735566077,680
1542735567075,680
1542735568084,680
1542735569077,680
1542735570082,680
1542735571078,680
1542735572084,680
1542735573081,680
1542735574084,680
1542735575089,680
1542735576089,679
1542735577083,679
1542735578088,679
1542735579085,680
1542735580090,680
1542735581087,680
1542735582090,680
1542735583087,679
1542735584094,679
1542735585090,680
1542735586099,680
1542735587092,681
1542735588095,681
1542735589093,680
1542735590093,680
1542735591098,680
1542735592103,681
1542735593100,682
1542735594104,682
1542735595098,682
1542735596108,682
1542735597100,682
1542735598107,682
1542735599104,683
1542735600101,683
1542735601105,684
1542735602111,683
1542735603107,683
1542735604110,684
1542735605106,684
1542735606104,685
1542735607107,685
1542735608114,685
1542735609116,685
1542735610109,686
1542735611111,686
1542735612109,686
1542735613111,687
1542735614109,687
1542735615114,687
1542735616116,687
1542735617115,687
1542735618121,688
1542735619120,689
1542735620116,689
1542735621118,689
1542735622116,689
1542735623121,689
1542735624121,690
1542735625125,690
1542735626120,691
1542735627124,690
1542735628121,690
1542735629128,691
1542735630124,691
1542735631128,692
1542735632125,692
1542735633129,692
1542735634129,692
1542735635131,692
1542735636130,693
1542735637133,693
1542735638132,694
1542735639134,694
1542735640132,693
1542735641136,693
1542735642132,694
1542735643137,694
1542735644138,695
1542735645139,694
1542735646138,694
1542735647145,694
1542735648140,695
1542735649141,696
1542735650138,697
1542735651143,696
1542735652144,696
1542735653149,697
1542735654146,697
1542735655149,698
1542735656143,698
1542735657149,698
1542735658146,698
1542735659152,698
1542735660173,699
1542735661156,699
1542735662149,699
1542735663153,699
1542735664162,699
1542735665156,699
1542735666163,700
1542735667156,700
1542735668162,700
1542735669160,701
1542735670161,701
1542735671160,701
1542735672160,701
15
